INFO 2025-11-21 09:31:32,524 autoreload Watching for file changes with StatReloader
INFO 2025-11-21 09:32:11,856 autoreload Watching for file changes with StatReloader
INFO 2025-11-21 09:32:16,291 basehttp "GET / HTTP/1.1" 200 49944
INFO 2025-11-21 09:32:17,672 basehttp "GET /static/images/newviedo.mp4 HTTP/1.1" 200 31284505
INFO 2025-11-21 09:32:18,797 basehttp "GET /static/images/newviedo.mp4 HTTP/1.1" 200 31284505
INFO 2025-11-21 09:32:26,771 basehttp "GET /accounts/login/ HTTP/1.1" 200 20809
WARNING 2025-11-21 09:32:26,851 basehttp "GET /static/images/video-poster.jpg HTTP/1.1" 404 1996
INFO 2025-11-21 09:32:29,200 basehttp "POST /accounts/login/ HTTP/1.1" 200 21117
WARNING 2025-11-21 09:32:29,280 basehttp "GET /static/images/video-poster.jpg HTTP/1.1" 404 1996
INFO 2025-11-21 09:32:32,814 basehttp "GET /accounts/signup/ HTTP/1.1" 200 22381
WARNING 2025-11-21 09:32:32,869 basehttp "GET /static/images/video-poster.jpg HTTP/1.1" 404 1996
INFO 2025-11-21 09:32:32,874 basehttp "GET /static/css/signup.css HTTP/1.1" 200 5497
INFO 2025-11-21 09:32:34,100 basehttp "POST /accounts/google/login/?process=signup&next=%2F HTTP/1.1" 302 0
INFO 2025-11-21 09:32:36,014 basehttp "GET /accounts/signup/ HTTP/1.1" 200 22381
INFO 2025-11-21 09:32:50,615 basehttp "POST /accounts/google/login/?process=signup&next=%2F HTTP/1.1" 302 0
INFO 2025-11-21 09:32:55,034 basehttp "GET /accounts/google/login/callback/?state=zCKfOu19TRGQVqRv&code=4%2F0Ab32j93X3v1Eo7DaMSP4-ELfoKerpA4Gk0ZQjxJHDqmLMVi8gNfCSnS0r8746LteCEJscQ&scope=email+profile+https%3A%2F%2Fwww.googleapis.com%2Fauth%2Fuserinfo.email+https%3A%2F%2Fwww.googleapis.com%2Fauth%2Fuserinfo.profile+openid&authuser=0&prompt=none HTTP/1.1" 302 0
